"","source","target","value"
"298","nsp8_EXOSC8","LSM1",0.936683654785156
"299","nsp8_EXOSC8","EXOSC9",0.921910643577576
"303","nsp8_AATF","CHEK2",0.931344985961914
"304","nsp8_EXOSC2","MPP6",0.978583097457886
"305","nsp9_GTF2F2","CREB1",0.955067038536072
"306","nsp9_NUP214","XPO1",0.938150346279144
"308","nsp9_NUP62","KPNB1",0.927561521530151
"309","orf10_CUL2","NEDD8",0.957499444484711
"310","orf10_MAP7D1","COPS6",0.962206542491913
"311","orf10_MAP7D1","GPRASP1",0.95732307434082
"314","orf3a_TRIM59","NRM",0.940411806106567
"315","orf6_NUP98","TNPO1",0.964183628559113
"316","orf6_RAE1","BUB1",0.929844617843628
"317","orf8_TOR1A","TOR1B",0.952390432357788
"318","orf8_PLAT","SERPINI1",0.960133194923401
"319","orf8_ITGB1","HSPG2",0.964683294296265
"320","orf8_ITGB1","NF2",0.968866229057312
"323","orf8_OS9","TRPV4",0.948738217353821
"324","orf8_NGLY1","TRAFD1",0.979707419872284
"325","orf8_NEU1","GLB1",0.9728182554245
"326","orf8_SMOC1","NOTCH2NL",0.977554738521576
"327","orf8_SMOC1","KRTAP10-3",0.980966806411743
"331","orf9b_CHMP2A","EIF2B5",0.959722816944122
"333","orf9c_F2RL1","F2",0.973269760608673
"334","orf9c_F2RL1","CAPN1",0.964219629764557
"335","orf9c_SCAP","INSIG2",0.954266428947449
"336","orf9c_PIGS","KRT40",0.930090665817261
"337","orf9c_PIGS","NOTCH2NL",0.949442148208618
"338","orf9c_PIGS","KRTAP10-3",0.971511006355286
